feature,pearson,abs_pearson,kept
X618,-0.00508270447234348,0.00508270447234348,True
X630,0.005068829608385646,0.005068829608385646,True
X72,0.004967980308481129,0.004967980308481129,True
X327,0.004964572346580959,0.004964572346580959,True
X369,0.004964572346580959,0.004964572346580959,True
X411,0.004964572346580959,0.004964572346580959,True
X724,0.004939699959495189,0.004939699959495189,True
X391,0.004887685127210792,0.004887685127210792,True
X702,0.004868538665745934,0.004868538665745934,True
X234,0.0047830792645379636,0.0047830792645379636,True
X703,0.004781049533980173,0.004781049533980173,True
X598,-0.004728103299530459,0.004728103299530459,True
X516,0.004614144617916768,0.004614144617916768,True
X677,0.004581121373279472,0.004581121373279472,True
X779,0.004510828793394659,0.004510828793394659,True
X517,-0.00443174669654522,0.00443174669654522,True
X603,0.004352293706814772,0.004352293706814772,True
X396,-0.004336033459923743,0.004336033459923743,True
X208,0.0043336155843599735,0.0043336155843599735,True
X593,0.00427783720513496,0.00427783720513496,True
X142,0.004235947656718325,0.004235947656718325,True
X241,0.004061576173946785,0.004061576173946785,True
X511,-0.004038783187932339,0.004038783187932339,True
X526,-0.0040356171264840585,0.0040356171264840585,True
X413,0.00398120448482683,0.00398120448482683,True
X691,0.0038740657610581383,0.0038740657610581383,True
X481,0.0038235188122467977,0.0038235188122467977,True
X520,-0.003810700283843119,0.003810700283843119,True
X97,0.003794651391145906,0.003794651391145906,True
X397,0.003782826266243397,0.003782826266243397,True
X403,0.0037092883805130115,0.0037092883805130115,True
X741,0.0036868420896089527,0.0036868420896089527,True
X561,0.0036535153315516962,0.0036535153315516962,True
X207,-0.0036169822415131974,0.0036169822415131974,True
X646,-0.0035674659987018475,0.0035674659987018475,True
X514,-0.00351498784900492,0.00351498784900492,True
X488,0.003454833141496611,0.003454833141496611,True
X221,0.0034496195472882678,0.0034496195472882678,True
X8,-0.003430030726636665,0.003430030726636665,True
X220,-0.00342999846432136,0.00342999846432136,True
X100,0.0034113476232319646,0.0034113476232319646,True
X468,0.0033871913237615387,0.0033871913237615387,True
X595,-0.003341394942399096,0.003341394942399096,True
X706,0.003333618130020105,0.003333618130020105,True
X597,0.0033222326080591742,0.0033222326080591742,True
X389,-0.00323942486662879,0.00323942486662879,True
X395,-0.003234033443987195,0.003234033443987195,True
X138,0.0031922536406617354,0.0031922536406617354,True
X632,0.0031270780406732683,0.0031270780406732683,True
X446,0.003056071332363599,0.003056071332363599,True
X690,0.003011800297070161,0.003011800297070161,True
X200,-0.0029587779729872816,0.0029587779729872816,True
X645,0.0029078428448094037,0.0029078428448094037,True
X193,-0.002852922789068849,0.002852922789068849,True
X512,0.0028236860632179454,0.0028236860632179454,True
X250,0.002796307732158099,0.002796307732158099,True
X701,-0.002761714454479818,0.002761714454479818,True
X738,0.0027009630279462324,0.0027009630279462324,True
X120,0.0026946232660904645,0.0026946232660904645,True
X7,-0.002594410261362435,0.002594410261362435,True
X651,-0.002520333438273797,0.002520333438273797,True
X476,0.0025107515055281786,0.0025107515055281786,True
X775,0.0024920731456817215,0.0024920731456817215,True
X401,-0.0024775398844877634,0.0024775398844877634,True
X707,0.0024372574629183933,0.0024372574629183933,True
X518,0.002383963343031305,0.002383963343031305,True
X390,0.0023214314170008203,0.0023214314170008203,True
X214,0.0022996824747103907,0.0022996824747103907,True
X682,0.0022993045698002416,0.0022993045698002416,True
X532,-0.002244102094366335,0.002244102094366335,True
X774,0.0022381148026066914,0.0022381148026066914,True
X425,-0.0022252349751221124,0.0022252349751221124,True
X529,-0.0022058940470770024,0.0022058940470770024,True
X655,-0.0021732937185240616,0.0021732937185240616,True
X419,0.002165956531397161,0.002165956531397161,True
X453,0.0021416464084964637,0.0021416464084964637,True
X577,-0.0020975380665652042,0.0020975380665652042,True
X143,0.0019933169139746917,0.0019933169139746917,True
X251,-0.0019318616584393892,0.0019318616584393892,True
X773,-0.0019070742387616707,0.0019070742387616707,True
X772,-0.0018834064129467473,0.0018834064129467473,True
X685,-0.0018767669580218365,0.0018767669580218365,True
X619,-0.0018672447526124484,0.0018672447526124484,True
X126,-0.0018589402146606039,0.0018589402146606039,True
X697,-0.0018106471078914745,0.0018106471078914745,True
X600,0.0018093169001357984,0.0018093169001357984,True
X689,0.0017506044140853086,0.0017506044140853086,True
X636,-0.001674758396705559,0.001674758396705559,True
X228,-0.0016677316392837418,0.0016677316392837418,True
X377,0.0016664322335429198,0.0016664322335429198,True
X728,0.0016460360710671522,0.0016460360710671522,True
X776,0.0016228432013013065,0.0016228432013013065,True
X6,-0.0015480567881367782,0.0015480567881367782,True
X474,-0.0014884457500183767,0.0014884457500183767,True
X101,-0.0011613358535359497,0.0011613358535359497,True
X681,0.0010982527072356623,0.0010982527072356623,True
X333,-0.0010543690143910017,0.0010543690143910017,True
X417,-0.0010543690143910017,0.0010543690143910017,True
X375,-0.0010543690143910017,0.0010543690143910017,True
X5,0.0010348793789089798,0.0010348793789089798,True
X688,-0.0010071409851396531,0.0010071409851396531,True
X335,0.00097704116717909,0.00097704116717909,True
X78,0.000942092484268995,0.000942092484268995,True
X329,-0.000925294136855746,0.000925294136855746,True
X562,0.000918470058940344,0.000918470058940344,True
X778,0.0007601718263429982,0.0007601718263429982,True
X256,0.0007590566930741223,0.0007590566930741223,True
X439,0.0006960942237153372,0.0006960942237153372,True
X383,-0.0006869334939780123,0.0006869334939780123,True
X132,-0.0006543001923836723,0.0006543001923836723,True
X467,0.0005979675601316471,0.0005979675601316471,True
X687,0.0005974134975802175,0.0005974134975802175,True
X462,0.000564304249711442,0.000564304249711442,True
X341,-0.0004989025961276521,0.0004989025961276521,True
X686,0.0004987238610409677,0.0004987238610409677,True
X620,0.000419606261752743,0.000419606261752743,True
X710,0.0004051753660069392,0.0004051753660069392,True
X711,0.000357935563138419,0.000357935563138419,True
X777,0.00035555308253157656,0.00035555308253157656,True
X571,-0.00032431511202058496,0.00032431511202058496,True
X9,-0.00028579527717882014,0.00028579527717882014,True
X371,0.0002580936601057767,0.0002580936601057767,True
X693,-0.00019584208743365426,0.00019584208743365426,True
X568,-0.00016532702339457084,0.00016532702339457084,True
X647,0.00013867443927679737,0.00013867443927679737,True
X86,0.00012023424593368454,0.00012023424593368454,True
X170,0.00012023424593368454,0.00012023424593368454,True
X128,0.00012023424593368454,0.00012023424593368454,True
X475,-6.264685800436181e-05,6.264685800436181e-05,False
