feature,mean_abs_shap
X772,0.4691039
X344,0.06615582
X752,0.06482155
X269,0.056959186
X445,0.05353463
X343,0.05148608
X750,0.05007888
X96,0.049981188
X138,0.043812282
X614,0.043560203
X759,0.040989436
X758,0.03969699
X611,0.03854099
X501,0.038040154
X508,0.037063763
X88,0.036759872
X337,0.03487815
X427,0.033271838
X139,0.033106655
X576,0.032846518
X779,0.03276096
X180,0.031903207
X84,0.028912244
X607,0.028190318
X438,0.027967691
X571,0.02759886
X428,0.024943002
X382,0.023956273
X37,0.023797093
X288,0.02321309
X24,0.022566684
X178,0.021904435
X90,0.021189963
X507,0.020335048
X39,0.020215632
X285,0.020006012
X584,0.019829888
X681,0.019786563
X422,0.019493703
X373,0.019314185
X756,0.018867435
X741,0.018855372
X499,0.017970275
X284,0.017757641
X500,0.017592145
X179,0.017580666
X426,0.017231414
X38,0.017191797
X345,0.017159153
X379,0.017026814
X217,0.01625628
X385,0.016125089
X119,0.015911175
X757,0.015833484
X769,0.015812004
X93,0.015782233
X126,0.015644971
X341,0.015336712
X591,0.015126078
X421,0.015064917
X19,0.015005535
X386,0.014902121
X558,0.014790034
X466,0.014753323
X610,0.014683951
X579,0.0145249395
X329,0.014510558
X380,0.014489609
X472,0.014482404
X333,0.014249769
X581,0.014223979
X381,0.014197286
X169,0.014187527
X283,0.014170507
X590,0.014118265
X444,0.014082496
X767,0.013999476
X780,0.01379768
X778,0.013757533
X82,0.013753717
X425,0.013681109
X617,0.01348986
X136,0.013336595
X606,0.013282682
X613,0.013215966
X443,0.012980082
X762,0.012978239
X94,0.012945623
X340,0.012812474
X97,0.012711628
X298,0.012686238
X164,0.012671886
X707,0.01257582
X424,0.012541287
X143,0.0123702
X682,0.012344893
X654,0.012237345
X559,0.012226932
X357,0.0121892085
X505,0.012103676
X33,0.011926485
X706,0.011884086
X20,0.011844838
X383,0.011700181
X300,0.011619304
X135,0.011231764
X268,0.011132817
X450,0.011110179
X42,0.010986643
X465,0.010884925
X384,0.010729035
X589,0.010614527
X753,0.010609283
X191,0.010597521
X332,0.010596091
X463,0.0105782915
X415,0.010453898
X586,0.010324174
X89,0.010152315
X608,0.010104362
X214,0.010085102
X738,0.010082164
X775,0.009906558
X766,0.009744641
X417,0.009715452
X131,0.009579604
X40,0.009404841
X761,0.009383255
X411,0.009357448
X604,0.009329067
X708,0.009327444
X777,0.009320643
X338,0.009250201
X776,0.009229311
X85,0.009203705
X713,0.00919222
X132,0.009190885
X198,0.009166442
X205,0.009064416
X616,0.009027039
X121,0.0089570815
X582,0.0089021325
X405,0.008669965
X458,0.008579219
X573,0.008565551
X722,0.008414996
X588,0.008395487
X612,0.008375686
X583,0.008286151
X122,0.008279923
X182,0.008269001
X342,0.008263525
X618,0.008249024
X172,0.0080485735
X410,0.00794449
X748,0.0075833634
X271,0.007563633
X291,0.007546178
X327,0.007536217
X95,0.0075255176
X570,0.0074050026
X711,0.007385861
X592,0.00738145
X534,0.0072950656
X730,0.007282488
X376,0.007263591
X549,0.0072273775
X83,0.006909941
X137,0.0068838634
X556,0.0068754703
X44,0.0068640816
X739,0.00685834
X370,0.0067926934
X564,0.006758662
X321,0.0067562982
X86,0.0067102993
X173,0.006701222
X587,0.0066376165
X414,0.0066161673
X303,0.0066111
X133,0.00657852
X416,0.0065354886
X473,0.0065286392
X561,0.006499204
X226,0.006431735
X115,0.0064217076
X585,0.0064197886
X17,0.0063901814
X174,0.00638701
X299,0.0063648177
X163,0.006352335
X419,0.006287319
X302,0.006187322
X297,0.006141731
X699,0.0060094795
X768,0.006003714
X413,0.0059824707
X331,0.0059130816
X167,0.0058937697
X683,0.0057337484
X326,0.005729527
X127,0.005712552
X221,0.0056818333
X646,0.0056591807
X675,0.0056562773
X177,0.005575167
X734,0.005573354
X124,0.0055340235
X92,0.005512968
X211,0.005490998
X574,0.0054678237
X429,0.005463283
X479,0.005391434
X506,0.0053072213
X731,0.0052986634
X773,0.0052839685
X158,0.00525207
X166,0.0052389884
X605,0.0052334345
X712,0.0051967646
X219,0.0051925355
X35,0.0051901303
X457,0.005189776
X22,0.005106477
X175,0.005097569
X295,0.0050802883
X294,0.0050639054
X420,0.0050133457
X601,0.0050006295
X87,0.004992933
X264,0.0049845083
X764,0.0049254643
X287,0.004907065
X218,0.004891484
X565,0.004880517
X55,0.0048285075
X619,0.004723481
X181,0.0047151134
X480,0.0047059325
X774,0.0047054747
X31,0.004676227
X751,0.0046540024
X550,0.0046491614
X272,0.0046467264
X48,0.004547913
X91,0.0045131883
X464,0.004439184
X735,0.004437803
X740,0.004435566
X188,0.0044101323
X325,0.0043147076
X540,0.0042671803
X69,0.0042390986
X274,0.004216327
X46,0.0042081485
X261,0.0041922885
X367,0.004143058
X378,0.004099351
X577,0.0039467267
X603,0.003914851
X627,0.0039139334
X702,0.0038664006
X452,0.0038240163
X21,0.003756166
X656,0.003746394
X162,0.0037080932
X636,0.003671442
X537,0.0036598307
X120,0.0035568948
X566,0.003530603
X651,0.003515297
X157,0.003495026
X628,0.0034795133
X372,0.0034538612
X442,0.0034470896
X754,0.0034378965
X678,0.003359139
X290,0.003348051
X493,0.0033308696
X742,0.0033263664
X647,0.003264578
X553,0.003252733
X710,0.0032301235
X233,0.003224672
X685,0.003197178
X680,0.0031634287
X277,0.003081774
X535,0.003080555
