feature,mean_abs_shap
X772,0.25907657
X758,0.12754884
X777,0.07350243
X776,0.062436845
X757,0.05814621
X445,0.043879885
X373,0.04249167
X611,0.03776794
X752,0.037637033
X651,0.03538815
X39,0.03199464
X421,0.031104809
X684,0.030466279
X769,0.028739981
X610,0.028437972
X97,0.026609503
X768,0.02639494
X587,0.024671543
X427,0.024093006
X650,0.023787798
X654,0.023477776
X198,0.02344636
X177,0.022577077
X613,0.022132648
X428,0.02124612
X591,0.020788241
X343,0.020362258
X739,0.020126399
X465,0.019845752
X414,0.018218381
X767,0.018101491
X655,0.018050248
X508,0.017666904
X582,0.017506778
X607,0.017494222
X344,0.017492747
X759,0.017438114
X466,0.017370759
X682,0.017158246
X614,0.016903017
X753,0.016863277
X25,0.016217675
X581,0.015021333
X138,0.01498177
X182,0.014922497
X600,0.014164946
X569,0.014081218
X738,0.013998453
X444,0.0134811215
X779,0.013327784
X740,0.013218724
X730,0.0131667
X501,0.012715689
X368,0.012677897
X384,0.012369215
X778,0.012299156
X136,0.012262046
X96,0.012158559
X383,0.012019923
X500,0.011952729
X463,0.011881541
X608,0.011543609
X646,0.0114422655
X332,0.011313475
X90,0.011235109
X766,0.011211997
X617,0.011001961
X780,0.01093004
X341,0.010894459
X425,0.010229181
X710,0.0102158375
X218,0.01003497
X345,0.009934801
X683,0.009859664
X590,0.009846856
X361,0.009619693
X379,0.009473071
X754,0.009425154
X297,0.009390023
X143,0.0093555525
X385,0.009297324
X290,0.009197187
X583,0.008990839
X586,0.008903239
X86,0.008867429
X762,0.008810171
X499,0.008804807
X342,0.008801589
X180,0.008722747
X174,0.008700385
X271,0.008506704
X612,0.008453152
X32,0.008339895
X422,0.008269124
X179,0.008268233
X357,0.008147673
X340,0.007989612
X605,0.007950994
X381,0.007898569
X443,0.007798974
X378,0.0077589815
X761,0.0077415407
X436,0.007734936
X419,0.007733972
X702,0.0077114375
X27,0.007659223
X756,0.007658756
X296,0.007531867
X166,0.007517042
X272,0.0074169594
X82,0.0073025357
X409,0.0072735646
X338,0.0072662733
X189,0.007010431
X564,0.0069457497
X380,0.006668332
X132,0.0066515347
X773,0.00661724
X23,0.0066000824
X270,0.0065609124
X377,0.006522336
X585,0.006477868
X197,0.006477384
X77,0.006418125
X160,0.0063630333
X20,0.0063313637
X652,0.006179719
X139,0.0061599715
X775,0.0060855434
X331,0.006079965
X334,0.006053643
X31,0.006010904
X21,0.005999159
X288,0.0059622307
X167,0.0059568444
X84,0.0057780226
X415,0.005775432
X426,0.0056767864
X277,0.0056599597
X629,0.005642653
X561,0.005566166
X640,0.0055376342
X547,0.005457652
X38,0.0053560003
X214,0.005345174
X711,0.0053298012
X750,0.0053041806
X95,0.0052800956
X604,0.0052798945
X119,0.0052636173
X130,0.005250376
X28,0.005222963
X335,0.0051316307
X498,0.0051300083
X94,0.005110998
X416,0.005098634
X574,0.004957163
X286,0.0049257833
X609,0.004874323
X456,0.0048223557
X376,0.004805913
X279,0.0047953217
X162,0.004776723
X736,0.004755258
X285,0.004743524
X540,0.00468979
X570,0.00467424
X606,0.0046622157
X102,0.0046189846
X22,0.004616809
X464,0.0046051242
X742,0.004593088
X674,0.004581964
X192,0.0045808097
X442,0.0045559215
X71,0.004540575
X125,0.004494719
X337,0.004490791
X172,0.004490654
X126,0.0043188226
X584,0.004202239
X93,0.0041920827
X774,0.004187974
X685,0.004121484
X216,0.004106141
X572,0.004102701
X642,0.0039524194
X526,0.0039306227
X330,0.0038651687
X647,0.0038617458
X372,0.0038498708
X420,0.0037755596
X127,0.0037581292
X410,0.003754812
X523,0.003740302
X78,0.0036900616
X276,0.0035857784
X571,0.0035579042
X751,0.0035577335
X616,0.0035440733
X284,0.0035056076
X708,0.0034804835
X327,0.0034515355
X291,0.00344274
X735,0.003436612
X579,0.0034153352
X552,0.003386904
X124,0.003385608
X460,0.003383013
X301,0.0033720331
X205,0.0033662072
X563,0.0033478446
X242,0.0033349635
X88,0.0033302002
X678,0.0033232283
X760,0.003303271
X648,0.0032780322
X592,0.0032322663
X621,0.003195067
X550,0.0031803474
X367,0.003179368
X19,0.0031792228
X568,0.0031664676
X336,0.0031594534
X424,0.0031574122
X653,0.0031380877
X278,0.0031374798
X644,0.003130292
X619,0.003083314
X188,0.003037196
X292,0.003031012
X116,0.00301019
X549,0.0030096967
X573,0.0030058292
X302,0.0029515051
X521,0.002944897
X671,0.0029361136
X181,0.0028910602
X578,0.0028867905
X47,0.0028756266
X333,0.0028659052
X680,0.0028553037
X656,0.0028383583
X452,0.002833781
X164,0.002825012
X91,0.0028035159
X765,0.0027777727
X532,0.0027060206
X298,0.0026912566
X243,0.002654893
X727,0.0026144076
X68,0.0025874565
X764,0.0025745844
X89,0.0025677152
X163,0.0025566067
X173,0.0025540178
X329,0.0025502616
X83,0.0025435716
X370,0.0025378964
X30,0.0025042407
X325,0.0024903528
X577,0.0024565952
X580,0.0024322278
X168,0.0024297242
X565,0.002417599
X24,0.0024015761
X280,0.002399531
X588,0.002373892
X506,0.002341078
X567,0.002323227
X178,0.0023157361
X152,0.0022929753
X472,0.0022889478
X51,0.0022803284
X541,0.0022760371
X37,0.002241687
X418,0.0021849375
X153,0.0021829947
X40,0.0021612085
X170,0.002138832
X544,0.0021312942
X92,0.002111905
X413,0.002101163
X726,0.0020834873
X155,0.002072094
X228,0.0020500848
X262,0.0020442046
X169,0.002034306
X282,0.002028799
X137,0.0020287335
X559,0.0020100062
X300,0.0019941723
X558,0.0019931737
