feature,mean_abs_shap
X28,0.0019390602
X50,0.0019216107
X629,0.0019207324
X232,0.0018808516
X625,0.001875969
X95,0.0018567116
X569,0.0018522311
X228,0.0018361475
X73,0.0018180548
X764,0.0017794694
X185,0.001748082
X748,0.0017439458
X296,0.001742103
X22,0.0017043602
X434,0.0017038562
X572,0.001698723
X298,0.0016840965
X238,0.0016809048
X297,0.0016692294
X340,0.0016366818
X679,0.0016296613
X574,0.0016286878
X303,0.0016215577
X320,0.0016189585
X557,0.0015968445
X328,0.0015865389
X641,0.0015739052
X749,0.0015513164
X771,0.001519855
X336,0.0015158487
X553,0.0015152673
X208,0.0015151068
X275,0.0015010118
X545,0.0014758932
X243,0.0014649739
X458,0.0014348131
X34,0.0014299068
X436,0.0014172827
X532,0.0013956057
X364,0.00138617
X670,0.0013781907
X225,0.0013724011
X161,0.0013629011
X309,0.0013626575
X130,0.001353977
X204,0.0013458607
X695,0.0013403138
X675,0.0013225449
X556,0.0013201236
X530,0.0013030139
X555,0.0012925802
X551,0.0012919519
X166,0.0012837286
X118,0.0012827998
X416,0.0012711975
X115,0.001267539
X120,0.0012396333
X201,0.0012244442
X124,0.0012224051
X242,0.0012107656
X9,0.0012045446
X146,0.0012016343
X239,0.0011868753
X706,0.0011789935
X698,0.0011717174
X330,0.0011693368
X571,0.0011632603
X278,0.0011579267
X719,0.0011420972
X433,0.0011173766
X548,0.0010913754
X597,0.0010846059
X462,0.0010779268
X705,0.0010724118
X455,0.0010665844
X677,0.0010553165
X533,0.0010549675
X429,0.0010274122
X223,0.0010256012
X600,0.001014042
X699,0.0010133856
X441,0.0009941796
X497,0.0009736984
X151,0.00096514774
X405,0.0009535445
X473,0.0009524683
X159,0.0009449932
X504,0.00093768846
X567,0.000921622
X324,0.00092003465
X362,0.00091828126
X457,0.00089505134
X370,0.0008736573
X737,0.0008630946
X727,0.00083315367
X486,0.00083206466
X280,0.00082117977
X406,0.0008119499
X247,0.00079687464
X535,0.00077571406
X355,0.0007714038
X448,0.0007655313
X155,0.00076081516
X527,0.0007453958
X521,0.0007440559
X261,0.0007305
X353,0.00071791443
X743,0.0007070719
X107,0.0006930149
X728,0.0006847774
X552,0.00067428837
X360,0.0006704816
X603,0.00066963735
X634,0.00063686474
X55,0.00063556235
X145,0.000632245
X546,0.00062928203
X286,0.0006269293
X599,0.00061535224
X281,0.0006009269
X627,0.0005985967
X150,0.0005654503
X237,0.000551381
X615,0.0005422389
X129,0.000541306
X644,0.00053730264
X282,0.00052938383
X402,0.00050928065
X202,0.00048182462
X639,0.00047373908
X148,0.00046689057
X361,0.000464698
X253,0.00043737306
X140,0.00043370022
X397,0.00043323025
X152,0.00042493583
X733,0.00042225787
X382,0.00039893272
X86,0.00038837478
X700,0.0003844425
X648,0.00037809694
X321,0.00036890793
X666,0.00036779974
X447,0.00036572435
X365,0.00036139158
X195,0.00035843352
X753,0.00035193103
X536,0.0003504105
X76,0.00034521098
X514,0.00034359848
X197,0.0003408132
X707,0.0003349374
X315,0.00033369102
X404,0.00032372793
X240,0.00032264588
X690,0.00031433877
X45,0.00031287697
X314,0.00031047457
X459,0.0003086677
X111,0.00030813325
X523,0.0003051184
X196,0.0002965288
X645,0.00029315014
X460,0.00029217618
X114,0.000290748
X71,0.00027164508
X323,0.00026282467
X224,0.0002569356
X230,0.00024550338
X30,0.00023699662
X726,0.00023681436
X165,0.00023197953
X724,0.00022934265
X144,0.00022816382
X209,0.00022409587
X4,0.00021848673
X432,0.00021698882
X403,0.00021690605
X601,0.00021536088
X194,0.00021352874
X529,0.0002130666
X359,0.00020638909
X190,0.00020598806
X543,0.00020064814
X515,0.00019975279
X487,0.00019756789
X210,0.00019716458
X630,0.00019222761
X81,0.00019086253
X568,0.00018962624
X154,0.00018898766
X266,0.00018123825
X618,0.00018112811
X123,0.000177503
X398,0.00017254848
X14,0.00016347798
X511,0.0001626213
X478,0.0001606365
X649,0.00016038206
X112,0.00015914795
X215,0.0001550317
X205,0.00015465173
X525,0.00015111722
X697,0.00014523274
X594,0.00014280027
X440,0.00014112506
X263,0.00013944901
X723,0.0001394276
X122,0.00013450942
X6,0.00012859982
X626,0.00012854976
X64,0.00012622315
X356,0.00012493775
X267,0.00011395035
X108,0.000109142195
X469,0.000105411134
X10,0.00010492538
X149,0.00010167225
X51,0.000100769656
X662,9.807985e-05
X348,9.505754e-05
X754,9.30283e-05
X653,9.237843e-05
X352,8.5694955e-05
X244,8.516568e-05
