feature,mean_abs_shap
X772,0.3407512
X758,0.13983293
X501,0.07923422
X757,0.067610405
X777,0.06396595
X427,0.050655935
X769,0.04192734
X445,0.040360846
X767,0.03804478
X345,0.037397254
X759,0.033178627
X138,0.03132729
X366,0.028590389
X269,0.028081477
X132,0.026399642
X21,0.023300838
X500,0.022935534
X332,0.022875803
X385,0.022186194
X778,0.021992749
X465,0.021877322
X139,0.021319456
X614,0.020113263
X779,0.01982496
X414,0.019696165
X344,0.019592207
X581,0.019297866
X288,0.019144155
X684,0.01820177
X126,0.017754935
X681,0.017449047
X752,0.017242515
X610,0.016535781
X508,0.015907722
X738,0.01587949
X711,0.015236989
X343,0.014761927
X768,0.014626869
X584,0.014552783
X582,0.0144417295
X429,0.014062627
X586,0.013856969
X753,0.013854345
X773,0.013439263
X297,0.0133326
X90,0.013214999
X650,0.012888182
X337,0.012493348
X367,0.012478016
X655,0.012328829
X333,0.01228595
X300,0.012054127
X174,0.011897476
X371,0.011679822
X606,0.01167081
X97,0.011600433
X24,0.011594847
X179,0.011510428
X592,0.011495348
X279,0.011006975
X756,0.010968142
X421,0.010957617
X20,0.010893371
X589,0.010860082
X23,0.010779112
X739,0.010602991
X651,0.010386744
X750,0.0103725325
X730,0.010327238
X762,0.010306799
X617,0.010275481
X776,0.0101941405
X466,0.010114159
X136,0.009950074
X706,0.009824672
X571,0.009714228
X428,0.009648706
X570,0.009461201
X341,0.009399432
X425,0.0093727475
X271,0.0092815105
X331,0.009223564
X295,0.009099457
X426,0.008917698
X28,0.008833467
X587,0.008793093
X143,0.008735611
X444,0.008718412
X272,0.008651425
X604,0.008606342
X160,0.008604259
X780,0.00843891
X32,0.008332694
X629,0.008287952
X342,0.008234993
X710,0.008098093
X766,0.008069643
X616,0.008050686
X591,0.008036131
X386,0.007972861
X612,0.0076484457
X682,0.007582304
X734,0.0075176274
X335,0.0074644363
X19,0.0074106716
X590,0.0073767304
X277,0.007362465
X49,0.007254064
X180,0.0071723284
X181,0.007136882
X92,0.0071227294
X40,0.00707026
X96,0.0070190867
X338,0.0069645247
X22,0.0069049564
X130,0.0068018124
X292,0.006801086
X611,0.006797337
X127,0.006723003
X284,0.006679763
X640,0.0066132676
X422,0.0065774606
X37,0.006484816
X760,0.0064217504
X735,0.006420185
X94,0.0063886032
X291,0.006369762
X25,0.006365085
X379,0.0063367826
X765,0.006286404
X608,0.006207453
X39,0.006185805
X377,0.0061262837
X550,0.006073766
X478,0.0060684
X618,0.005984198
X576,0.0059816395
X219,0.005976249
X336,0.0059576095
X443,0.0059262617
X605,0.005912177
X214,0.0059100958
X774,0.0058956686
X302,0.0058277375
X761,0.0057489215
X775,0.005746318
X742,0.0057390262
X585,0.005729581
X198,0.0057055117
X479,0.0056571886
X680,0.005633919
X368,0.00561123
X588,0.0055495175
X564,0.0055340226
X619,0.005499163
X613,0.0054051536
X652,0.0052943644
X177,0.005288672
X44,0.0051392047
X374,0.005083084
X567,0.0050781732
X193,0.0050778417
X216,0.0050281333
X563,0.0049177054
X162,0.0048665768
X702,0.004857663
X558,0.0047937217
X498,0.0047722496
X31,0.004738219
X43,0.004727715
X84,0.00470987
X740,0.004676267
X437,0.004635564
X540,0.0046331473
X574,0.004624067
X370,0.004594399
X293,0.004581397
X654,0.0045759347
X285,0.004563691
X579,0.0045394865
X82,0.004528916
X381,0.0045079226
X290,0.00447199
X419,0.004414235
X173,0.00435547
X609,0.004354421
X301,0.0043468648
X87,0.0043072198
X296,0.004301491
X218,0.004296205
X95,0.0042526643
X685,0.0042502126
X731,0.004224795
X507,0.004152849
X78,0.0041368837
X751,0.004117973
X91,0.0040849987
X607,0.0040622596
X270,0.0040553696
X602,0.004048226
X578,0.0040094517
X732,0.003989463
X98,0.0039821914
X38,0.0039228653
X683,0.003887471
X47,0.0038871304
X656,0.0038558964
X315,0.0038462772
X357,0.0038160922
X410,0.003776801
X167,0.0037765447
X166,0.0037555327
X718,0.0037491003
X242,0.0037320463
X420,0.0037258207
X463,0.0037128357
X646,0.0037034063
X424,0.0036900444
X506,0.0036879773
X596,0.0035842033
X473,0.0035537179
X541,0.003513402
X294,0.0034789098
X182,0.0034641516
X432,0.0034437582
X583,0.0034398392
X217,0.003430215
X168,0.0034054725
X329,0.0033676901
X535,0.003334724
X674,0.0033040277
X188,0.0033013627
X549,0.0032999879
X169,0.003247512
X451,0.0032455772
X647,0.0032394598
X601,0.0031803716
X175,0.0031629268
X499,0.003127975
X712,0.0031181395
X29,0.0031125892
X736,0.0031025235
X573,0.003070771
X707,0.003051678
X212,0.0030474402
X278,0.0030150742
X205,0.0029787854
X264,0.002972166
X599,0.002968188
X17,0.002967149
X557,0.0029568507
X164,0.0029547277
X708,0.0028956344
X569,0.0028781414
X376,0.0028683145
X529,0.00275242
X417,0.002751616
X46,0.0027337729
X326,0.0026678338
X54,0.0026603949
X199,0.0026598352
X327,0.0026451005
X36,0.0026394902
X383,0.0026198954
X577,0.0026121007
X560,0.0026032426
X114,0.0025980019
X299,0.0025965332
X119,0.0025918952
X238,0.0025864097
X309,0.002556921
X35,0.0025541848
X676,0.002543209
X384,0.0025428736
X120,0.0025416107
X450,0.0025337809
X86,0.002533276
X83,0.002523346
X41,0.0025129307
X548,0.002497149
X197,0.002494389
X340,0.0024655221
X409,0.0024613948
X146,0.0024429434
X464,0.0024332735
X88,0.0024237027
X754,0.002416867
X562,0.0023505702
X770,0.002343328
X155,0.0023133515
X566,0.0023124267
X133,0.0023095661
X200,0.002296721
X77,0.0022934692
X553,0.0022867417
X135,0.0022304272
X561,0.0022098003
X415,0.0022094143
X405,0.002199725
X648,0.0021484068
X575,0.0021273599
X452,0.0021258474
X122,0.0021093404
X69,0.0021022914
X178,0.002066753
X642,0.002031467
X227,0.002026129
X163,0.0019962732
X125,0.0019379214
X657,0.0019256378
X324,0.0018639645
X187,0.0018427289
X393,0.0018209725
X235,0.0017845286
X286,0.0017801512
X280,0.0017761675
X565,0.0017563357
X52,0.0017377988
X362,0.0017231106
X644,0.0017028847
X556,0.0016960029
X276,0.0016848248
X526,0.0016792864
X140,0.0016586457
X225,0.0016541461
X547,0.001651138
X580,0.0016393361
X438,0.0016117946
X364,0.0016110302
X172,0.0015853848
X261,0.0015677523
X442,0.0015610538
X85,0.0015495333
X546,0.0015467872
X156,0.0015426512
X298,0.0015360969
X123,0.0015342399
X418,0.0015239391
X161,0.0015210595
X387,0.0014648626
X559,0.0014392233
X741,0.0014221354
X81,0.001410634
X373,0.0014066958
X224,0.0014044585
X748,0.0013783866
X195,0.0013770474
X568,0.0013690243
X698,0.0013689016
X436,0.001361118
X204,0.0013592268
X50,0.0013508929
X303,0.0013375236
X678,0.0013233521
X552,0.0013118125
X365,0.0013085977
X628,0.0013033268
X408,0.001302499
X325,0.0012808434
X675,0.0012804859
X456,0.0012798512
X390,0.0012742263
X462,0.0012518802
X93,0.0012470392
X256,0.0012266921
X369,0.0011965621
X228,0.0011757863
X320,0.0011728451
X190,0.0011688531
X222,0.0011681158
X68,0.0011449123
X413,0.0011379799
X274,0.0011309847
X713,0.0011302305
X771,0.0010986886
X434,0.0010919251
X287,0.0010675349
X749,0.0010591956
X480,0.0010573135
X137,0.0009867079
X76,0.0009848163
X89,0.0009701162
X699,0.00095529924
X703,0.00095232355
X620,0.00094859063
X505,0.0009446385
X62,0.00094202213
X30,0.0009243478
X361,0.0009239123
X192,0.00092315837
X726,0.0009218996
X330,0.000921058
X572,0.00089097285
X171,0.00087899494
X412,0.0008785863
X226,0.0008722763
X406,0.00086934713
X15,0.0008681436
X416,0.0008672556
X733,0.00085689826
X458,0.0008418277
X339,0.00083302567
X403,0.00083084323
X319,0.00082659523
X449,0.00081930304
X73,0.0008091622
X191,0.0007737425
X360,0.00076787925
X289,0.0007608495
X728,0.0007473863
X764,0.0007364758
X627,0.0007051103
X317,0.00069860904
X704,0.0006954943
X380,0.0006878523
X448,0.0006775094
X523,0.0006696593
X737,0.00065729994
X457,0.00065697345
X484,0.00064585503
X124,0.00062197424
X378,0.00060283334
X211,0.00059408776
X542,0.00059351657
X435,0.00059249357
X59,0.0005922259
X538,0.0005847049
X404,0.00057904614
X720,0.00057123456
X113,0.00055536785
X472,0.00055498607
X763,0.00054907816
X593,0.0005437398
X232,0.0005433308
X150,0.0005367584
X555,0.0005331338
X215,0.00053163787
X534,0.0005264648
X55,0.0005138626
X115,0.0005100549
X210,0.0004956222
X131,0.00049044605
X183,0.00048561496
X539,0.00048329722
X79,0.00048308537
X250,0.00047524105
X354,0.00047413376
X13,0.0004614739
X716,0.00045848987
X157,0.0004487575
X275,0.000448599
X262,0.00044180374
X118,0.00042634227
X203,0.00042369947
X441,0.0004192202
X679,0.0004174306
X461,0.0004158018
X600,0.00040997245
X334,0.0004081112
X705,0.0004072984
X128,0.00040229343
X727,0.00040149613
X201,0.0003955113
X671,0.00039277502
X56,0.00037928627
X402,0.00037138263
X401,0.00037052837
X493,0.00036271356
X375,0.0003449768
X372,0.00033576557
X545,0.00033241144
X743,0.00033024736
X154,0.00032910632
X158,0.00032624297
X554,0.0003249811
X394,0.00032322571
X551,0.0003185668
X189,0.0003136267
X382,0.0003092872
X196,0.00030526164
X673,0.00030482467
X14,0.0003033797
X42,0.00030268522
X509,0.00029595685
X433,0.00028412588
X709,0.00026963427
X515,0.00026917507
X33,0.00026850618
X672,0.00026624833
X667,0.0002628851
X598,0.00026259437
X108,0.00025538047
X248,0.00025462027
X532,0.0002511496
X487,0.00023919235
X321,0.00023559853
X34,0.00023315732
X430,0.00022683466
X106,0.00022293879
X314,0.00021404999
X597,0.00021163512
X729,0.00019497045
X322,0.00019370097
X116,0.0001933046
X621,0.00018938612
X397,0.00018369114
X603,0.00018284364
X537,0.00017633423
X543,0.00017562804
X625,0.00017208485
X527,0.00016192438
X485,0.0001616607
X253,0.0001589548
X497,0.00015814755
X746,0.00015282576
X258,0.00014994471
X144,0.00014950165
X323,0.00014637916
X643,0.00014093851
X725,0.00013949453
X185,0.00013429236
X223,0.00013395239
X355,0.00012772219
X701,0.00012182707
X281,0.00012022632
X318,0.00011682342
X121,0.00011662325
X521,0.00011462688
X636,0.00011442461
X722,0.000111522815
X72,0.00010952922
X165,0.00010733255
X249,0.00010572585
X311,9.87955e-05
X400,9.727719e-05
X510,9.49377e-05
X268,9.293113e-05
X639,8.997962e-05
X634,8.687218e-05
X696,8.528412e-05
X396,8.482006e-05
X245,8.129007e-05
X348,8.043505e-05
X695,7.9003425e-05
X694,7.527192e-05
X282,7.526703e-05
X645,7.485007e-05
X350,7.371925e-05
X398,7.281886e-05
X358,7.240857e-05
X460,7.236205e-05
X152,7.219127e-05
X440,6.955646e-05
X525,6.803874e-05
X359,6.640665e-05
X148,5.8608086e-05
X71,5.6687866e-05
X246,5.5339166e-05
X61,5.5067525e-05
X533,5.412596e-05
X353,5.0877115e-05
X109,4.9859696e-05
X352,4.684958e-05
X687,4.6838504e-05
X528,4.659602e-05
X70,4.4668206e-05
X237,4.455895e-05
X283,4.368129e-05
X492,4.3397664e-05
X697,4.1617415e-05
X391,4.0728173e-05
X624,3.9172024e-05
X112,3.8809627e-05
X595,3.878941e-05
X649,3.7499707e-05
X503,3.7280523e-05
X439,3.4040673e-05
X502,3.136845e-05
X455,3.1168416e-05
X349,3.1086172e-05
X470,3.0995783e-05
X637,2.866862e-05
X519,2.774135e-05
X346,2.4827306e-05
X313,2.39267e-05
X170,2.2981676e-05
X60,2.1014923e-05
X244,1.9456409e-05
X594,1.8978288e-05
X664,1.8459361e-05
X105,1.8118037e-05
X266,1.627026e-05
X184,1.5912645e-05
X489,1.5190315e-05
X194,1.4688146e-05
X51,1.4498379e-05
X66,1.37968345e-05
X511,1.3459398e-05
X522,1.22739375e-05
X468,1.20097175e-05
X153,1.0025293e-05
X159,9.1822885e-06
X615,8.474288e-06
X721,8.281627e-06
X668,7.292649e-06
X12,6.225754e-06
X474,5.9344598e-06
X662,5.919733e-06
X490,3.7950629e-06
X518,0.0
X2,0.0
X665,0.0
X312,0.0
X57,0.0
X395,0.0
X221,0.0
X207,0.0
X514,0.0
X536,0.0
