Fold,Best Alpha,Train R²,Train Pearson,Val R²,Val Pearson,Val RMSE,Val MAE
1,1000.0,0.27022784533868704,0.5228711588871038,-0.25044807254698265,0.10356015242471286,1.1535504445740856,0.7734803291475407
2,1000.0,0.2882194747237702,0.5403369009926925,-0.391749497861841,0.09971979952011682,1.1652643811158938,0.8225495316141583
3,1000.0,0.29579580935529914,0.5479421572404082,-1.5189631260773395,0.03432741926898358,1.6365621012902571,1.081089866641545
4,1000.0,0.2965351690499175,0.5485811821334964,-2.5086357526300045,0.023029592696204842,1.9148677826867115,1.283014022981972
Average,-,0.2876945746169185,0.5399328498134252,-1.167449112279042,0.06515924097750453,1.467561177416737,0.9900334375963039
