feature,importance_mean,importance_std,is_engineered
X71,0.025286724876477013,0.0008352626252739528,False
X33,0.025284767223945303,0.0006736604314111183,False
X331,0.024799884991442266,0.0010761035423423517,False
X34,0.024611459517986822,0.0007114760308790056,False
X259,0.024531943557501858,0.0009027794519275968,False
X597,0.024478926723037038,0.0005801277833964363,False
X94,0.0242884349191183,0.0007245118208057702,False
X292,0.02417442059011137,0.0009865718903173198,False
X629,0.02391863272913517,0.000940094921349492,False
X258,0.023718135295537644,0.0010076525989438552,False
X651,0.023611406946105,0.00047933559719282926,False
X77,0.02338437089498662,0.0008448609435854846,False
X225,0.023377350464344925,0.0008341409928277896,False
X274,0.023218742153274442,0.0005242940257269107,False
X500,0.023217110797810005,0.0005299750537090354,False
X126,0.02280113660176992,0.0007738698587011212,False
X17,0.021893505898458687,0.0004993537381555068,False
X46,0.02185524031952437,0.0007030394677710581,False
X408,0.02169838724059296,0.000710998692265204,False
X583,0.0214413340301944,0.0004780672096290511,False
X45,0.02132300847990138,0.0007078593994809106,False
X553,0.021170697769484475,0.0003065556142673163,False
X342,0.021055456833454937,0.0009643574592413582,False
X724,0.020993158268837443,0.0006302452105821032,False
X446,0.02095397609449858,0.0009663008132856086,False
X569,0.020926111650178277,0.0007226660531798876,False
X275,0.020906761889790654,0.0004313603954048042,False
X451,0.020897150986865017,0.0007645930082831174,False
X699,0.020468088589273237,0.0006891341791846068,False
X546,0.020237287458790897,0.0005045902965114101,False
X619,0.020089638944486225,0.0006088726520550512,False
X96,0.02005980857051093,0.0008212558881769674,False
X13,0.01989626481012775,0.0007506728240542069,False
X438,0.019848361598819992,0.0006607394388356637,False
X139,0.019747897190720044,0.0008119273575372057,False
X137,0.019579889340247757,0.0006851720476143908,False
X671,0.019523303990792818,0.000658832911842596,False
X635,0.019341625499141767,0.0006616588804313168,False
X648,0.019298988786263592,0.0005650599668434169,False
X24,0.018902782717776873,0.0004883037297071755,False
X269,0.018484944232401556,0.0006273724940569086,False
X611,0.01839328309764337,0.00039155081478404156,False
X672,0.018159929146183102,0.0005224101505484886,False
X87,0.018043973575477858,0.0006442955147583825,False
X719,0.01786762074348453,0.0007749089722116406,False
X469,0.01786463092268557,0.0007270462287714466,False
X374,0.017621024570430466,0.00045450117673041736,False
X49,0.017560359955504916,0.0006585450342309096,False
X756,0.017285316478033302,0.0005548115561874134,False
X565,0.017084193818197563,0.0002623849699319449,False
X353,0.01691491696255404,0.0005674540178963034,False
X769,0.01655946330936143,0.0005977977193207303,False
X280,0.016549584060549925,0.0008298493685192232,False
X165,0.016525051862551366,0.000679672332306143,False
X261,0.01612178764329707,0.0008357874209840132,False
X752,0.015795936525458815,0.0007404746800983097,False
X50,0.01577007171088418,0.00062019466534635,False
X704,0.015762459000241452,0.0007340802553120905,False
X695,0.015698659881425638,0.000608228294897549,False
X38,0.015511460549723122,0.0006159116310589403,False
X179,0.015417389000230814,0.0006172670849194839,False
X218,0.015417110447578935,0.0007216794231327526,False
X418,0.015347956624527703,0.0005852868284025916,False
X748,0.015282586978386647,0.000699974257201547,False
X666,0.015220193434210067,0.0005890254623158323,False
X7,0.015150854401779412,0.0006299903617032998,False
X129,0.015099976803942367,0.0004594317438434604,False
X445,0.01500627709776411,0.0007006138571238466,False
X406,0.015004708843157733,0.0005469911396404428,False
X472,0.014918082842541303,0.000573093269719759,False
X618,0.014896453324606268,0.00048816063388223936,False
X718,0.01476077328720891,0.0006908136550847785,False
X44,0.014495822472334097,0.0006062026010419655,False
X667,0.014327010923027638,0.000620340876802464,False
X370,0.014301263494450395,0.0005727280300380403,False
X599,0.014187000666187088,0.0003212238037548633,False
X172,0.014175587810275897,0.0005035659888699899,False
X580,0.014174289514368405,0.0003974006751012148,False
X82,0.01414259725674707,0.0005831165378628601,False
X222,0.014024749141173182,0.0005673212534713702,False
X312,0.013801775408271438,0.00039486681442228944,False
X646,0.013789701876363369,0.00044272375149131043,False
X640,0.013787781597294185,0.0005490135109987625,False
X128,0.013769725361070479,0.0006821878595601605,False
X279,0.013719650036566878,0.0006447815208501852,False
X702,0.01370544136576397,0.0005571740968675454,False
X178,0.013580194410687068,0.00043759165502497337,False
X119,0.013420458222167203,0.0006659156297444078,False
X366,0.013391006199270888,0.0004603103896860699,False
X311,0.013344191893997576,0.00046297673732617834,False
X436,0.01306058411733586,0.00043523922613953773,False
X604,0.013045094946656488,0.0005071261325328383,False
X205,0.012913272702516704,0.0004641886203693688,False
X568,0.012705845089611622,0.0003217100501489904,False
X437,0.012705627604932273,0.0005319344550912711,False
X559,0.012689966336501763,0.00022509387133443646,False
X266,0.01263430396059027,0.00031051273429642996,False
X239,0.012542106174905875,0.000597263315322233,False
X240,0.012527054977040764,0.0007573359082848713,False
X556,0.01247583854834145,0.00024856653511016276,False
X316,0.012464867653447282,0.0004924590701944844,False
X207,0.012422598882359432,0.0006077769173096964,False
X287,0.012143380516776487,0.0008455794763399454,False
X360,0.012130547717019814,0.0004581548579620656,False
X123,0.012130510857494569,0.0005197427415328702,False
X758,0.012104317964047045,0.0005527730876295476,False
X487,0.0120871671080573,0.0005226439272065581,False
X736,0.011998904907436908,0.0005856512343799288,False
X441,0.01193435530968096,0.00065785415814459,False
X136,0.011837210070459691,0.00044141868243670644,False
X161,0.011824243395216778,0.00046791250290351973,False
X185,0.011589830230381477,0.00043633633115886417,False
X419,0.011394850532921802,0.00033159137332682703,False
X432,0.011393941000614282,0.0006443979553549114,False
X323,0.011301446207290488,0.00047964757529778135,False
X467,0.011252353091575757,0.0005748522446425852,False
X238,0.011224820738784192,0.0004630670275869582,False
X327,0.01111521943240965,0.0006328676748062592,False
