feature,importance_mean,importance_std,is_engineered
X260,0.27765595083276856,0.0027134916328706246,False
X487,0.27736784440523293,0.0020869403105543706,False
X275,0.2754499658851513,0.0014991543424618273,False
X690,0.2752303625468162,0.0019708540217312264,False
X459,0.2744911389821908,0.0017125418095327656,False
X136,0.2731579725608792,0.0014178191306993295,False
X463,0.2726515518867102,0.0026058617026918085,False
X646,0.27257192578848727,0.0015770884008656776,False
X278,0.27046998655391385,0.001966503648714101,False
X716,0.2681925374824593,0.003100806766803767,False
X715,0.2674772505887787,0.0024368422819608347,False
X629,0.26741412777285684,0.0025942638943804303,False
X223,0.26716695609568736,0.002133326175237861,False
X113,0.2655925812428922,0.0023418251551086465,False
X377,0.26436289387801926,0.0012881039318023582,False
X332,0.26298348917818515,0.002088745330788555,False
X12,0.2623487384281164,0.0023535073786561064,False
X652,0.2621830249425251,0.0017224071443774456,False
X35,0.26186742043583777,0.0014543002902641577,False
X119,0.2611097608210792,0.0023149357071502114,False
X263,0.26079028065722965,0.0026548089375441762,False
X169,0.26068982292132953,0.0017119320441741916,False
X494,0.2596296236045185,0.002152753455474954,False
X386,0.2590875538633882,0.002156654020396645,False
X157,0.2586099113192822,0.002456887191153172,False
X554,0.2563226570874221,0.002265622938077552,False
X675,0.256186112059296,0.002206284199823978,False
X722,0.25567418714893925,0.002159768868689826,False
X225,0.2555724542783349,0.002536371195330335,False
X323,0.254865120118375,0.001360483906700942,False
X39,0.2547446898294917,0.0015007361803974102,False
X334,0.25457424977760923,0.002008288951278116,False
X444,0.2538683519722579,0.0021358128058571423,False
X446,0.2532314848596963,0.0026969555207593506,False
X8,0.2528119997634833,0.0020187448772971636,False
X276,0.2521801325152794,0.001832918775340553,False
X703,0.25132608630345743,0.00214068676515506,False
X77,0.250991076910675,0.002430406281988102,False
X414,0.2503514902884971,0.0018151397130567156,False
X154,0.25009555614693835,0.0017432588832864719,False
X178,0.24953339617585915,0.0015951866523667816,False
X302,0.249369042486562,0.0021723315928190534,False
X7,0.2490455963519873,0.001989675403392675,False
X205,0.24845130028866397,0.0018314231408489085,False
X22,0.24772684323273858,0.001921932980831902,False
X137,0.24744668470596212,0.002150344000730928,False
X112,0.24706191716283277,0.001716020854896885,False
X711,0.2459006301787067,0.0025155539793796705,False
X469,0.24522098330527017,0.0022709605301469635,False
X551,0.24446401756802447,0.002271376219057967,False
