Experiment,Features,Best Alpha,Train R²,Train Pearson,Val R²,Val Pearson,Val RMSE,Time (s)
Experiment A: Original Features Only (Baseline),780,0.1,0.147947725342361,0.3846402763041048,0.14097844817723337,0.3755777509930349,0.936936748739497,234.3434784412384
Experiment B: Engineered Features Only,14,100.0,0.0012993821318960652,0.036046947002899045,0.0007106071938085545,0.02908120985239185,1.0105408686248796,1.1468353271484375
Experiment C: All Features (Full Model),794,0.1,0.14817785310123044,0.38493931767193845,0.14142854093944723,0.3761733898088729,0.9366912579817795,136.88377594947815
