n_features,top_n,val_pearson_mean,val_pearson_std,val_rmse_mean,val_rmse_std,best_iteration_median
30,30,0.6850971206303643,0.006544798674424516,0.7468985560151417,0.009091562004548385,2500
50,50,0.7215403679413063,0.008341576702085324,0.7122061396291667,0.010727017343984954,2500
100,100,0.7498979670026628,0.004478855238920576,0.6831326345171961,0.011124006112930327,2500
200,200,0.7650025602308879,0.004981121293853061,0.6646401913374921,0.012870336004914966,2500
500,500,0.7732491315541902,0.004758649338002293,0.654768652028653,0.012311502888929989,2500
