Fold,Best Alpha,Train R²,Train Pearson,Val R²,Val Pearson,Val RMSE,Val MAE
1,1000.0,0.12511329356175394,0.35514711738877514,0.06576891667060525,0.26570291125585216,0.9725945813741123,0.6344305174782705
2,1000.0,0.1285850325961515,0.35979823143181106,0.042033579141121935,0.2280390152552585,0.9989925687619483,0.647346471602565
3,1000.0,0.12336212918348943,0.3523812880512271,0.06500424591063281,0.2588229825900555,1.0137031505978333,0.6516683191327205
4,1000.0,0.12601801187127215,0.35616863875810617,0.056479256579334836,0.2527493555812769,0.9601150974910316,0.6337260650252389
5,1000.0,0.1347825265395708,0.3681289821986088,0.015345635389148238,0.1998354155943685,0.9759600708131816,0.642837911411483
Average,-,0.12757219875044756,0.3583248515657057,0.048926326738168616,0.24102993605536233,0.9842730938076214,0.6420018569300556
