feature,importance_mean,importance_std,is_engineered
X584,0.36413543107173585,0.0021830383303104365,False
X578,0.35528733566735454,0.0024724359337233116,False
X587,0.35482063804108716,0.002336375051307572,False
X569,0.35363332482624077,0.0023141927241583267,False
X627,0.3530514872433225,0.0024363590042815876,False
X731,0.34975105857723177,0.002189772793876424,False
X129,0.3469019491690425,0.0017849434211621663,False
X623,0.3434782489404314,0.0021724423832851975,False
X254,0.3433285590130138,0.002320447414185893,False
X590,0.34062188768719026,0.0021581713034792478,False
X695,0.3384367069118831,0.002266442083096929,False
X581,0.3381437932392611,0.0023023156315441287,False
X575,0.33701332450453236,0.002307199631411574,False
X124,0.33685593958285504,0.0014326693777740437,False
X699,0.3365757551668512,0.0022788719828970433,False
X640,0.3359260298970347,0.0019855962750242595,False
X470,0.334009580008808,0.002323156868703399,False
X21,0.33220297039849117,0.002581396805875228,False
X691,0.3316536866717585,0.0021817572934374214,False
X620,0.33146246246701605,0.0018849264320192803,False
X694,0.33010804102525537,0.0022229994384922154,False
X639,0.3295465113451418,0.002326180095629049,False
X692,0.32917591472314606,0.0013733715490264241,False
X175,0.3273145486739308,0.0020624904077655264,False
X464,0.32696320515314703,0.0022839886075572617,False
X277,0.326912467169522,0.0019455501724836603,False
X172,0.32684047590297793,0.0016564555596626893,False
X240,0.32584662935176056,0.0028599167646441073,False
X262,0.3256087111240448,0.0029821586787349835,False
X621,0.3254997552971455,0.0019420650945363735,False
X572,0.3247225101384491,0.002425251419558803,False
X15,0.3243948961373856,0.002367918604685787,False
X14,0.3221008182289457,0.002419895699854087,False
X486,0.3212919358973886,0.0018950828781250156,False
X16,0.32061019989133255,0.0022306064804719825,False
X380,0.3202671617524462,0.0018912811369353594,False
X648,0.32022692015988347,0.0016723009825110847,False
X735,0.3198340437830209,0.002003270994055674,False
X166,0.3190335051771425,0.0017731634547869886,False
X624,0.31880254517627893,0.002182454128453432,False
X255,0.31763048564019397,0.002058913310460993,False
X130,0.31686835102144795,0.0012658974453118644,False
X451,0.3167869820894459,0.002034451640988423,False
X246,0.3163718042154491,0.002167507434294751,False
X485,0.3159000102412718,0.0022384840785971754,False
X492,0.31574287517815225,0.0023411080942178095,False
X696,0.3151749519424837,0.0017622827406292756,False
X622,0.31492241905623397,0.0020301884656862383,False
X643,0.31342255750080383,0.0021953738805076018,False
X698,0.3132922962199644,0.0021967652888143095,False
X445,0.31320406237991083,0.002271567000966375,False
X628,0.3116615285948716,0.002579163550717694,False
X706,0.31040477305543357,0.002526827783789113,False
X200,0.30812373198677356,0.0020920678504215947,False
X626,0.30786134113493346,0.002142924476211036,False
X23,0.3076528428236879,0.0016255260629407815,False
X536,0.30699453967693785,0.0018185369536243415,False
X700,0.3061988178326456,0.002216744503041597,False
X163,0.3054383367429461,0.002526711120459523,False
X776,0.30456697979429836,0.0025600676802652513,False
X421,0.3040933945326687,0.001848571908454812,False
X533,0.30369840694984146,0.002042843068550102,False
X778,0.30339280732505,0.002095401524077413,False
X335,0.3033018739002757,0.0012522947510277584,False
X723,0.3032070257961564,0.0022638982548064154,False
X261,0.30183921606804553,0.003153419723750193,False
X193,0.30160463581514724,0.0017362176299359948,False
X644,0.3015029584892621,0.0016375362996908064,False
X291,0.3013875469394282,0.0024213547410227936,False
X484,0.3012181993408457,0.0033983202247162055,False
X625,0.30054106287762083,0.0022862324693687926,False
X441,0.2997195835422835,0.002919832238507095,False
X542,0.2994069968166114,0.0017802445701913204,False
X448,0.29934295827248053,0.002670467677848656,False
X647,0.2993012505109353,0.0015889996400997152,False
X123,0.29923789466716755,0.002046708685195431,False
X708,0.29919288491962553,0.0029240539874653875,False
X471,0.29820174830779267,0.0018506830125000187,False
X472,0.2977156012731588,0.0019844274053799084,False
X160,0.29763298738572824,0.0018501509906181828,False
X777,0.29618484965864617,0.002558731265109046,False
X727,0.29611587401271156,0.0020822887941177575,False
X214,0.29593150410350544,0.0017485488859400027,False
X81,0.29561860990823025,0.002230923047569012,False
X548,0.29477160526582313,0.0023253865802071957,False
X195,0.2944298552640685,0.001943208421213999,False
X239,0.2936844527168897,0.0021634984953932527,False
X224,0.29338272522501574,0.0025218904647577515,False
X491,0.29333838701074105,0.003480337994714512,False
X726,0.2931090234217507,0.0022133771989975674,False
X779,0.29200554739886225,0.0018989630391526334,False
X118,0.29169940167379,0.001642285347497611,False
X329,0.29133111177051996,0.0010772762727358374,False
X135,0.29121980424471683,0.0017070136549660652,False
X415,0.2898815214655196,0.0018129276340804914,False
X409,0.28978861290722757,0.0014733496658001241,False
X247,0.2891247292959729,0.002791334577355542,False
X566,0.28804672059912795,0.0026900068921834152,False
X539,0.2862307489565754,0.0020585065609689053,False
X43,0.2854441594556033,0.001618549915926212,False
X125,0.2841123632331247,0.0016063306163372967,False
X734,0.2839341738979913,0.0018564052738053553,False
X403,0.2830279725135133,0.0014484095120168808,False
X730,0.2810207957304409,0.0019832032974135766,False
X452,0.2805155001915439,0.0019492935611571773,False
X679,0.2795884217471986,0.0023912200367896797,False
