model,avg_pearson,std
Blend α=0.4,0.08755126114463925,0.025501224417108365
Blend α=0.5,0.08718427622799702,0.022850771658979818
Blend α=0.3,0.08676392292541489,0.02710593953099076
Blend α=0.6,0.08532040362103677,0.019091596727057566
Blend α=0.2,0.08518105455984437,0.027881141733127886
Blend α=0.1,0.08312823263747181,0.028100177353292677
Blend α=0.7,0.08168273863343387,0.014426518648497
MLP only (α=0.0),0.08086066631356442,0.02800740470600112
Blend α=0.8,0.07614884895781213,0.009812793283195672
Blend α=0.9,0.06890444818465213,0.00856125771374474
XGB only (α=1.0),0.06051157870416732,0.012540022118610107
